iter	Passed	Remaining
0	2	202
1	3	189
2	5	180
3	6	162
4	8	159
5	10	157
6	11	157
7	13	150
8	14	147
9	16	144
10	17	142
11	19	140
12	21	140
13	23	141
14	25	142
15	26	141
16	28	141
17	30	140
18	32	138
19	34	137
20	35	135
21	37	134
22	39	132
23	40	128
24	42	127
25	44	126
26	45	123
27	47	122
28	49	120
29	51	120
30	53	118
31	54	116
32	56	115
33	58	112
34	59	111
35	61	108
36	63	107
37	64	105
38	66	103
39	67	101
40	69	99
41	70	96
42	71	95
43	73	93
44	75	91
45	77	90
46	79	89
47	80	87
48	82	85
49	83	83
50	84	81
51	86	79
52	88	78
53	89	76
54	90	74
55	92	72
56	94	71
57	96	69
58	98	68
59	99	66
60	101	64
61	102	62
62	103	60
63	103	58
64	104	56
65	104	54
66	105	51
67	106	49
68	106	47
69	107	46
70	108	44
71	108	42
72	109	40
73	110	38
74	110	36
75	111	35
76	112	33
77	113	31
78	113	30
79	114	28
80	115	26
81	115	25
82	116	23
83	117	22
84	117	20
85	118	19
86	119	17
87	120	16
88	120	14
89	121	13
90	122	12
91	122	10
92	123	9
93	124	7
94	125	6
95	125	5
96	126	3
97	127	2
98	127	1
99	128	0
